video_id,title,description,channel_id,channel_title,published_at,category_id,tags,default_language,duration_iso,duration_sec,definition,caption,view_count,like_count,comment_count,favorite_count,topic_categories,fetched_at
6I7_4f6nmSo,有洞！這顆尼安德塔人臼齒藏著秘密,"想和我們有更多互動嗎？加入會員 ► https://lihi1.com/BWeoe

-----
重溫泛科學YouTube會員520專屬直播👉https://www.youtube.com/live/9oX6d2SlQyM?si=QHWITf9wPTY75VmY

-----
【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-26T11:00:04Z,28,,zh,PT2M34S,154,hd,False,11403,613,20,0,https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:47:45.454814+00:00
LAIbLFqKzyI,公布！美國地底的導電模型！電漿化的瞬間發生什麼事【泛科學NEWS EP60】,"重溫泛科學YouTube會員專屬直播👉https://www.youtube.com/@PanScitw/streams

-----
【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe

-----
購買《科學生》由此去💪https://shopee.tw/(%E4%BA%8C%E7%89%88)%E3%80%90%E7%A7%91%E5%AD%B8%E7%94%9F%E3%80%91%EF%BC%9A%E5%BB%BA%E6%A7%8B%E7%A7%91%E6%99%AE%E7%B4%A0%E9%A4%8A-%E5%9F%B9%E9%A4%8A%E9%96%B1%E8%AE%80%E5%AF%A6%E5%8A%9B-i.195496500.57409669807?extraParams=%7B%22display_model_id%22%3A440857609457%2C%22model_selection_logic%22%3A3%7D

購買《AI衝擊效應：全球競逐下的技術革命》由此去💪https://shopee.tw/%E3%80%90AI%E8%A1%9D%E6%93%8A%E6%95%88%E6%87%89%E3%80%91%EF%BC%9A-%E5%85%A8%E7%90%83%E7%AB%B6%E9%80%90%E4%B8%8B%E7%9A%84%E6%8A%80%E8%A1%93%E9%9D%A9%E5%91%BD-i.195496500.47459726272?extraParams=%7B%22display_model_id%22%3A375857608916%2C%22model_selection_logic%22%3A3%7D

-----
// 本週新聞 //
新聞一：有洞！這顆尼安德塔人臼齒藏著秘密
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0347662
新聞二：台灣愛玉馴養的專屬式神
https://academic.oup.com/gbe/article/18/4/evag080/8658624?login=true
新聞三：老鼠腦變異真相，竟然組團唱歌
https://www.nature.com/articles/s41586-026-10458-y
新聞四：電漿化的瞬間發生什麼事
https://www.nature.com/articles/s41467-026-71429-5
新聞五：插翅就能飛？人腦：OK
https://www.sciencedirect.com/science/article/pii/S2211124726003980?via%3Dihub
新聞六：公布！美國地底的導電模型
https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2024RG000850

// 製作團隊 //
主持：泛科知識 #鄭國威知識長
腳本：蔡庭禎
剪輯：邱均螢
企劃：柳希莫依",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-25T11:00:07Z,28,yt:cc=on,zh,PT16M49S,1009,hd,True,31577,1273,68,0,,2026-05-27T06:47:45.454814+00:00
EwMX9sxY1YU,首次突破！量子世界超級擠壓術,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-24T11:04:54Z,28,,zh,PT3M,180,hd,False,27388,1170,50,0,https://en.wikipedia.org/wiki/Society,2026-05-27T06:47:45.454814+00:00
C_SlBl4Q0Vw,什麼決定了植物細胞吃的元素？,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-23T11:15:36Z,28,,zh,PT2M57S,177,hd,False,15247,1149,17,0,https://en.wikipedia.org/wiki/Society,2026-05-27T06:47:45.454814+00:00
jHRmHtNj0l4,確定了！腦的記憶架構這麼來,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-22T11:03:41Z,28,,zh,PT3M,180,hd,False,26788,1434,72,0,https://en.wikipedia.org/wiki/Society,2026-05-27T06:47:45.454814+00:00
U1S8tSCx3Lg,【泛科學 Watch Party】思考、行動、推理！黃仁勳定錨 2026 AI 新賽道？（直播抽獎： NVIDIA RTX 4080）,"6/1（一）上午 10:30，泛科學 Watch Party 準時開播！我們將陪你一起收看NVIDIA執行長黃仁勳在 GTC Taipei 的主題演講。 

當 AI 不再只是「會回答」，而是能「執行任務」時，它將如何重塑我們的生產力與生活模式？誰能率先把這些強大的推論能力佈署到終端裝置，誰就握有下一波市場的絕對話語權。這是一場定錨未來技術趨勢的「Roadmap」！無論你是開發者、產業觀察者，還是對科技未來感興趣的泛糰，這場演講都是 AI 全產業鏈最準確的預言。

這場直播除了一起與泛糰即時導讀之外，我們也會在線上與聊聊這次揭露了哪些技術風向。

最最最重要的是... 泛糰專屬超狂抽獎好禮：NVIDIA GeForce RTX 4080 顯示卡！還是NVIDIA執行長黃仁勳的親簽款唷！
只有參與這場直播的泛糰才有機會搶答抽獎獲得這份夢幻逸品！",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-22T10:10:40Z,28,yt:cc=on,zh,P0D,0,sd,False,0,28,0,0,,2026-05-27T06:47:45.454814+00:00
B0tV9iXnL58,這個星際訪客很不尋常,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-21T11:00:13Z,28,,zh,PT3M,180,hd,False,67161,2054,45,0,,2026-05-27T06:47:45.454814+00:00
fi9UFMjMJZU,竟然！用古典物理推出量子力學？,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-20T11:00:58Z,28,yt:cc=on,zh,PT2M49S,169,hd,False,123671,3806,170,0,https://en.wikipedia.org/wiki/Society,2026-05-27T06:47:45.454814+00:00
XdQ8l59ww64,沒有不可能！心肌再生跨大步,"【泛科學YouTube會員專屬直播】
✨ 還不是會員嗎？現在就上車👉https://lihi1.com/BWeoe
📅 直播時間：2026/5/20（三）18:30
👥 參加資格：泛科學 YouTube 頻道會員
感謝泛糰們的激烈票選！🔥
本月的會員專屬直播，國威將和大家大聊特聊「漫畫&科技趨勢」！
泛糰們，520 我們線上見！❤️",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-19T11:02:43Z,28,,zh,PT2M51S,171,hd,False,39653,1681,46,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Society,2026-05-27T06:47:45.454814+00:00
2ewErQtGa7Q,首次突破！量子世界超級擠壓術！心肌再生跨大步！【泛科學NEWS EP59】,"【勘誤說明】
10:01 感謝觀眾指正，此圖為豆娘非蜻蜓，再次感謝觀眾提醒！

【5/21-5/27台北松山文創、7/15-7/23台中審計新村、9/23-9/27高雄國際兒少書展】《拚台語 Piànn Tâi-gí》培育台語家庭計畫巡迴展登場！邀您共創台語家庭新日常。

組隊註冊拿獎金！展覽現場註冊組隊送好禮！

第一手訊息不漏接↓↓↓
LINE：https://lin.ee/vBiA4q3e
FB：https://www.facebook.com/profile.php?id=61567303397424
IG：https://www.instagram.com/talk.taigi365/
現在就加入台語家庭計畫↓↓↓
https://tg.moc.gov.tw/signup

-----
【泛科學YouTube會員專屬直播】
✨ 還不是會員嗎？現在就上車👉https://lihi1.com/BWeoe
📅 直播時間：2026/5/20（三）18:30
👥 參加資格：泛科學 YouTube 頻道會員
感謝泛糰們的激烈票選！🔥
本月的會員專屬直播，國威將和大家大聊特聊「漫畫&科技趨勢」！
泛糰們，520 我們線上見！❤️

-----
【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe

-----
購買《科學生》由此去💪https://shopee.tw/(%E4%BA%8C%E7%89%88)%E3%80%90%E7%A7%91%E5%AD%B8%E7%94%9F%E3%80%91%EF%BC%9A%E5%BB%BA%E6%A7%8B%E7%A7%91%E6%99%AE%E7%B4%A0%E9%A4%8A-%E5%9F%B9%E9%A4%8A%E9%96%B1%E8%AE%80%E5%AF%A6%E5%8A%9B-i.195496500.57409669807?extraParams=%7B%22display_model_id%22%3A440857609457%2C%22model_selection_logic%22%3A3%7D

購買《AI衝擊效應：全球競逐下的技術革命》由此去💪https://shopee.tw/%E3%80%90AI%E8%A1%9D%E6%93%8A%E6%95%88%E6%87%89%E3%80%91%EF%BC%9A-%E5%85%A8%E7%90%83%E7%AB%B6%E9%80%90%E4%B8%8B%E7%9A%84%E6%8A%80%E8%A1%93%E9%9D%A9%E5%91%BD-i.195496500.47459726272?extraParams=%7B%22display_model_id%22%3A375857608916%2C%22model_selection_logic%22%3A3%7D

-----
// 本週新聞 //
新聞一：沒有不可能！心肌再生跨大步
https://www.nature.com/articles/s44161-025-00739-6
新聞二：這個星際訪客很不尋常
https://www.nature.com/articles/s41550-026-02850-5
新聞三：竟然！用古典物理推出量子力學？
https://royalsocietypublishing.org/rspa/article/482/2336/20250413/481461/On-computing-quantum-waves-exactly-from-classical
新聞四：確定了！腦的記憶架構這麼來
https://www.nature.com/articles/s41467-026-71914-x
新聞五：什麼決定了植物細胞吃的元素？
https://academic.oup.com/plcell/advance-article/doi/10.1093/plcell/koag114/8656483
新聞六：首次突破！量子世界超級擠壓術
https://www.nature.com/articles/s41567-026-03222-6

// 製作團隊 //
主持：泛科知識 #鄭國威知識長
腳本：蔡庭禎
剪輯：邱均螢
企劃：柳希莫依",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-18T11:00:17Z,28,yt:cc=on,zh,PT20M30S,1230,hd,True,97080,3396,179,0,,2026-05-27T06:47:45.454814+00:00
