video_id,title,description,channel_id,channel_title,published_at,category_id,tags,default_language,duration_iso,duration_sec,definition,caption,view_count,like_count,comment_count,favorite_count,topic_categories,fetched_at,like_rate,comment_rate,engagement_rate
XpwojMsmflE,啪！液體竟然被扯斷了,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe

-----
購買《科學生》由此去💪https://shopee.tw/(%E4%BA%8C%E7%89%88)%E3%80%90%E7%A7%91%E5%AD%B8%E7%94%9F%E3%80%91%EF%BC%9A%E5%BB%BA%E6%A7%8B%E7%A7%91%E6%99%AE%E7%B4%A0%E9%A4%8A-%E5%9F%B9%E9%A4%8A%E9%96%B1%E8%AE%80%E5%AF%A6%E5%8A%9B-i.195496500.57409669807?extraParams=%7B%22display_model_id%22%3A440857609457%2C%22model_selection_logic%22%3A3%7D",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-10 11:11:24+00:00,28,,zh,PT2M39S,159,hd,False,31031,2882,94,0,https://en.wikipedia.org/wiki/Society,2026-05-10 14:33:33.868947+00:00,0.09287486706841545,0.0030292288356804486,0.0959040959040959
LOcB8bELj_o,細胞內質網排污的秘密閘門,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe

-----
購買《科學生》由此去💪https://shopee.tw/(%E4%BA%8C%E7%89%88)%E3%80%90%E7%A7%91%E5%AD%B8%E7%94%9F%E3%80%91%EF%BC%9A%E5%BB%BA%E6%A7%8B%E7%A7%91%E6%99%AE%E7%B4%A0%E9%A4%8A-%E5%9F%B9%E9%A4%8A%E9%96%B1%E8%AE%80%E5%AF%A6%E5%8A%9B-i.195496500.57409669807?extraParams=%7B%22display_model_id%22%3A440857609457%2C%22model_selection_logic%22%3A3%7D",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-09 11:09:36+00:00,28,,zh,PT2M44S,164,hd,False,33962,1490,68,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Society,2026-05-10 14:33:33.868947+00:00,0.043872563453271306,0.0020022377951828515,0.04587480124845415
yglxo8O1FZo,竟然！黃石火山底下沒有岩漿海？,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe

-----
購買《科學生》由此去💪https://shopee.tw/(%E4%BA%8C%E7%89%88)%E3%80%90%E7%A7%91%E5%AD%B8%E7%94%9F%E3%80%91%EF%BC%9A%E5%BB%BA%E6%A7%8B%E7%A7%91%E6%99%AE%E7%B4%A0%E9%A4%8A-%E5%9F%B9%E9%A4%8A%E9%96%B1%E8%AE%80%E5%AF%A6%E5%8A%9B-i.195496500.57409669807?extraParams=%7B%22display_model_id%22%3A440857609457%2C%22model_selection_logic%22%3A3%7D",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-08 12:01:52+00:00,28,,zh,PT2M42S,162,hd,False,150900,3940,286,0,https://en.wikipedia.org/wiki/Society,2026-05-10 14:33:33.868947+00:00,0.026110006626905234,0.001895294897282969,0.028005301524188203
oDTU6NJRiQc,看到我就呼吸急促？,肺為何會「結疤」成菜瓜布？3分鐘看懂肺纖維化 IPF的惡性循環，從症狀警訊到 PDE4B 新藥研究進展，提醒及早就醫。,UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-08 11:01:33+00:00,28,yt:cc=on,zh,PT2M44S,164,hd,False,71033,3427,132,0,https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Health,2026-05-10 14:33:33.868947+00:00,0.048245181816902,0.001858291216758408,0.05010347303366041
AH2nppdR56w,新發明！這層膜解決吃水果的難題,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe

-----
購買《科學生》由此去💪https://shopee.tw/(%E4%BA%8C%E7%89%88)%E3%80%90%E7%A7%91%E5%AD%B8%E7%94%9F%E3%80%91%EF%BC%9A%E5%BB%BA%E6%A7%8B%E7%A7%91%E6%99%AE%E7%B4%A0%E9%A4%8A-%E5%9F%B9%E9%A4%8A%E9%96%B1%E8%AE%80%E5%AF%A6%E5%8A%9B-i.195496500.57409669807?extraParams=%7B%22display_model_id%22%3A440857609457%2C%22model_selection_logic%22%3A3%7D",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-07 11:00:26+00:00,28,,zh,PT2M31S,151,hd,False,110518,3485,129,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Society,2026-05-10 14:33:33.868947+00:00,0.0315333248882535,0.001167230677355725,0.032700555565609225
JXzwyg4j_5A,全集中呼吸的起源,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe

-----
購買《科學生》由此去💪https://shopee.tw/(%E4%BA%8C%E7%89%88)%E3%80%90%E7%A7%91%E5%AD%B8%E7%94%9F%E3%80%91%EF%BC%9A%E5%BB%BA%E6%A7%8B%E7%A7%91%E6%99%AE%E7%B4%A0%E9%A4%8A-%E5%9F%B9%E9%A4%8A%E9%96%B1%E8%AE%80%E5%AF%A6%E5%8A%9B-i.195496500.57409669807?extraParams=%7B%22display_model_id%22%3A440857609457%2C%22model_selection_logic%22%3A3%7D",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-06 11:00:25+00:00,28,,zh,PT2M47S,167,hd,False,82194,3234,70,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Society,2026-05-10 14:33:33.868947+00:00,0.03934593765968319,0.000851643672287515,0.040197581331970704
wkIC0bpPb68,草味那麼重，毛毛蟲也要負責？,"【勘誤說明】
感謝觀眾提醒，0:04 的幼蟲畫面為「葉蜂」的幼蟲，而非本論文探討的「鱗翅目」毛毛蟲。特此更正，感謝大家的指教！
-----
【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-05 12:01:45+00:00,28,,zh,PT2M41S,161,hd,False,137674,4112,171,0,https://en.wikipedia.org/wiki/Society,2026-05-10 14:33:33.868947+00:00,0.029867658381393727,0.0012420645873585426,0.03110972296875227
ui6g6sglX_s,台灣最難3D拼圖？ #桃園機場 #第三航廈 #promo,"完整影片點這裡：https://youtu.be/BUeCk4VmzcM?si=JuHFQyA-MnliIMMW

想和我們有更多互動嗎？加入會員 ► https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-05 11:01:27+00:00,28,yt:cc=on,zh,PT1M33S,93,hd,False,397393,8085,484,0,https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-10 14:33:33.868947+00:00,0.02034509918393127,0.0012179379103305795,0.021563037094261852
V4f3QQ27w18,泡咖啡的最新流體公式！,"感謝黃瑽寧醫師友情客串
-----
《寧夏璐陪你看世界》黃瑽寧醫師、夏嘉璐主播陪伴你，在人生最忙的時候，不要忘記了自己。
【驚喜彩蛋】主持人關麥後記、聽不到的寧夏璐
各大通路：
博客來｜https://cplink.co/UVdG6uN2 
MOMO｜https://cplink.co/TjlG0tpK 
誠品｜https://cplink.co/QedB5cR4
金石堂｜https://cplink.co/SJKACRNb 
親子天下電商｜https://cplink.co/1ml8RT9W
Readmoo電子書｜https://cplink.co/HAJ5erNl
kobo電子書｜https://cplink.co/ENg2KiDD
-----
【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-03 11:30:23+00:00,28,yt:cc=on,zh,PT3M,180,hd,False,32456,1664,129,0,https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-10 14:33:33.868947+00:00,0.05126941089474982,0.0039746117821050034,0.05524402267685482
gnoj5JIZqhw,我們精密雙眼的真正來歷,"【泛科學全新單元：科學的告白】
📣泛科學新聞每週精選至多5則告白，泛科學阿伯將在節目中為你大聲朗讀！
🎯 告白對象：什麼都可以！
人、事、物、自然現象、薛丁格的貓、甚至是昨晚吃剩的排骨飯......只要你想告白，我們就幫你唸！
✏️ 字數限制：50字以內
🎫 參與資格：限定高級泛糰(含)以上會員
👇 準備好發射你的告白信號了嗎？
　🔗 填寫告白表單：https://forms.gle/bFAhdvFo4Fb34Jxb7
　🔗 加入/升級會員：https://lihi1.com/BWeoe",UCuHHKbwC0TWjeqxbqdO-N_g,PanSci 泛科學,2026-05-03 10:39:11+00:00,28,,zh,PT2M49S,169,hd,False,139617,4452,222,0,https://en.wikipedia.org/wiki/Health,2026-05-10 14:33:33.868947+00:00,0.03188723436257762,0.0015900642471905284,0.03347729860976815
